packed_key,from_node_id,to_node_id,qvdf_start_speed_mph_am,qvdf_end_speed_mph_am,qvdf_start_speed_mph_md,qvdf_end_speed_mph_md,qvdf_start_speed_mph_pm,qvdf_end_speed_mph_pm,baseline_anchor_source,stage2_anchor_source,baseline_qvdf_start_speed_mph_am,stage1_assignment_qvdf_start_speed_mph_am,baseline_qvdf_end_speed_mph_am,stage1_assignment_qvdf_end_speed_mph_am,baseline_qvdf_start_speed_mph_md,stage1_assignment_qvdf_start_speed_mph_md,baseline_qvdf_end_speed_mph_md,stage1_assignment_qvdf_end_speed_mph_md,baseline_qvdf_start_speed_mph_pm,stage1_assignment_qvdf_start_speed_mph_pm,baseline_qvdf_end_speed_mph_pm,stage1_assignment_qvdf_end_speed_mph_pm
151938763098585,35376,35289,66.12955,66.77935,66.77935,66.70296,66.70296,65.554344,actual,actual,66.12955,56.9567,66.77935,58.61855,66.77935,58.61855,66.70296,54.34175,66.70296,54.34175,65.554344,48.4031
151943058065968,35377,35376,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151943058065970,35377,35378,63.0,63.0,63.0,55.81065,55.81065,48.6213,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,58.91935,55.81065,58.91935,55.81065,54.8387,48.6213
151947353033267,35378,35379,63.0,63.0,63.0,58.0109,58.0109,53.0218,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,60.6239,58.0109,60.6239,58.0109,58.2478,53.0218
151951648000565,35379,35381,63.0,63.0,63.0,58.0111,58.0111,53.0222,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,60.6239,58.0111,60.6239,58.0111,58.2478,53.0222
151955942967861,35380,35381,10.0,10.0,10.0,10.0,10.0,10.0,assignment,stage1_assignment_speed_mph,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
151955942967862,35380,35382,65.16068,65.92023,65.92023,65.65935,65.65935,64.56614,actual,actual,65.16068,59.8192,65.92023,60.20825,65.92023,60.20825,65.65935,57.6995,65.65935,57.6995,64.56614,54.8017
151955942968134,35380,35654,63.0,63.0,63.0,63.0,63.0,63.0,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
151960237935159,35381,35383,63.0,63.0,63.0,57.52485,57.52485,52.0497,assignment,stage1_assignment_speed_mph,63.0,63.0,63.0,63.0,63.0,63.0,56.25215,57.52485,56.25215,57.52485,49.5043,52.0497
151964532902272,35382,35200,65.16068,65.92023,65.92023,65.65935,65.65935,64.56614,actual,actual,65.16068,59.8189,65.92023,60.20825,65.92023,60.20825,65.65935,57.48105,65.65935,57.48105,64.56614,54.3645
