packed_key,from_node_id,to_node_id,stage2_anchor_source,period,qvdf_start_speed_mph,qvdf_end_speed_mph,boundary_status
1056561975750,246,20934,stage1_assignment_speed_mph,PM,16.99855,16.9982,both
1056561976317,246,21501,stage1_assignment_speed_mph,PM,16.9974,16.9966,both
1060856943044,247,20932,stage1_assignment_speed_mph,PM,16.9828,16.9771,both
1060856943058,247,20946,stage1_assignment_speed_mph,PM,16.9749,16.9673,both
1060856943614,247,21502,stage1_assignment_speed_mph,PM,16.97285,16.9639,both
1060856943615,247,21503,stage1_assignment_speed_mph,PM,17.0,17.0,both
1065151910287,248,20879,stage1_assignment_speed_mph,PM,16.97715,16.971,both
1065151910345,248,20937,stage1_assignment_speed_mph,PM,16.98415,16.9792,both
1065151910856,248,21448,stage1_assignment_speed_mph,PM,16.99355,16.9921,both
1069446877639,249,20935,stage1_assignment_speed_mph,PM,16.94825,16.9355,both
1069446877645,249,20941,stage1_assignment_speed_mph,PM,16.9793,16.9754,both
1069446878153,249,21449,stage1_assignment_speed_mph,PM,16.9697,16.9631,both
1069446878154,249,21450,stage1_assignment_speed_mph,PM,16.9715,16.9595,both
1073741844870,250,20870,stage1_assignment_speed_mph,PM,16.96125,16.9423,both
1073741845445,250,21445,stage1_assignment_speed_mph,PM,16.96365,16.951,both
1073741845446,250,21446,stage1_assignment_speed_mph,PM,17.0,17.0,both
1073741845447,250,21447,stage1_assignment_speed_mph,PM,16.9138,16.8953,both
1078036812503,251,21207,stage1_assignment_speed_mph,PM,16.9766,16.9718,both
1078036812506,251,21210,stage1_assignment_speed_mph,PM,16.96905,16.9607,both
1078036812979,251,21683,stage1_assignment_speed_mph,PM,17.0,17.0,both
1082331780271,252,21679,stage1_assignment_speed_mph,PM,16.99765,16.9971,both
1082331780276,252,21684,stage1_assignment_speed_mph,PM,16.9776,16.9726,both
1082331784592,252,26000,stage1_assignment_speed_mph,PM,16.9791,16.9735,both
1086626747566,253,21678,stage1_assignment_speed_mph,PM,16.99965,16.9995,both
1086626747568,253,21680,stage1_assignment_speed_mph,PM,16.98775,16.9847,both
1086626747855,253,21967,stage1_assignment_speed_mph,PM,16.97055,16.9622,both
1086626747856,253,21968,stage1_assignment_speed_mph,PM,16.9811,16.9765,both
1090921714378,254,21194,stage1_assignment_speed_mph,PM,16.96245,16.9499,both
1090921714863,254,21679,stage1_assignment_speed_mph,PM,16.9889,16.9792,both
1090921715152,254,21968,stage1_assignment_speed_mph,PM,16.91735,16.8943,both
1090921715153,254,21969,stage1_assignment_speed_mph,PM,16.9952,16.9981,both
1095216681674,255,21194,stage1_assignment_speed_mph,PM,17.0,17.0,both
1095216681676,255,21196,stage1_assignment_speed_mph,PM,16.95975,16.9403,both
1095216681686,255,21206,stage1_assignment_speed_mph,PM,16.968,16.9628,both
1095216682056,255,21576,stage1_assignment_speed_mph,PM,17.0,17.0,both
1095216682452,255,21972,stage1_assignment_speed_mph,PM,16.95405,16.9385,both
1099511648974,256,21198,stage1_assignment_speed_mph,PM,16.95735,16.9439,both
1099511649446,256,21670,stage1_assignment_speed_mph,PM,16.9812,16.9767,both
1099511649453,256,21677,stage1_assignment_speed_mph,PM,16.9657,16.9567,both
1103806616272,257,21200,stage1_assignment_speed_mph,PM,16.9382,16.9155,both
1103806616742,257,21670,stage1_assignment_speed_mph,PM,16.99885,16.9984,both
1103806616743,257,21671,stage1_assignment_speed_mph,PM,16.93645,16.9187,both
1103806617044,257,21972,stage1_assignment_speed_mph,PM,16.98665,16.9817,both
1108101583574,258,21206,stage1_assignment_speed_mph,PM,16.9994,16.9992,both
1108101583575,258,21207,stage1_assignment_speed_mph,PM,16.9861,16.9806,both
1108101583942,258,21574,stage1_assignment_speed_mph,PM,16.9737,16.9676,both
1108101583943,258,21575,stage1_assignment_speed_mph,PM,16.98055,16.9762,both
1112396551427,259,21763,stage1_assignment_speed_mph,PM,16.8888,16.8664,both
1116691518135,260,21175,stage1_assignment_speed_mph,PM,22.90965,22.9156,both
1116691518530,260,21570,stage1_assignment_speed_mph,PM,22.95925,22.9578,both
1120986485429,261,21173,stage1_assignment_speed_mph,PM,22.9618,22.9567,both
1120986485432,261,21176,stage1_assignment_speed_mph,PM,22.9514,22.9451,both
1125281452717,262,21165,stage1_assignment_speed_mph,PM,16.9976,16.9973,both
1125281453120,262,21568,stage1_assignment_speed_mph,PM,16.98005,16.9763,both
